burst duration,within-burst spiking freq,within-burst max spiking freq,within-burst number of spikes,inter-burst interval,percentage of burst spikes,burst frequency,mean surprise,max surprise,Subject,Neuron,Stimuli
0.21080000000000254,90.13282732447709,176.47058823529972,19,0.6397999999999975,0.37254901960784315,5.05356781888013,1.1455486836932098,1.5037638401448263,070921,S1U3,Ctl
0.15489999999999782,116.20400258231281,209.79020979022962,18,0.3807000000000009,0.2727272727272727,5.146680391147715,0.9588330681246877,1.117190389787393,070921,S1U3,Ctl
0.26480000000000814,90.63444108761051,117.64705882352496,24,0.5318999999999932,0.43636363636363634,4.02900886381949,1.002005504739251,1.4528396466332467,070921,S1U3,Ctl
0.08509999999999707,129.25969447709025,164.47368421052522,11,0.25739999999999696,0.20754716981132076,3.158559696778258,1.0617863653038062,1.1865824863550043,070921,S1U3,Ctl
0.403299999999998,7.438631291842338,7.438631291842338,3,0.0,1.0,1.1179429849077733,2.7906136843713063,2.7906136843713063,070921,S3U3,Ctl
0.7494000000000014,5.337603416066177,5.337603416066177,4,0.0,0.8,1.0045203415369164,1.5021418995605513,1.5021418995605513,070921,S3U3,Ctl
0.30430000000000135,9.858692080183985,9.858692080183985,3,0.0,0.375,1.0152284263959397,0.9430532450772562,0.9430532450772562,070921,S3U3,Ctl
0.06560000000000343,45.73170731707078,45.73170731707078,3,0.0,0.3,1.012658227848097,1.4411990617345831,1.4411990617345831,070921,S3U3,Ctl
0.19930000000000092,25.087807325639623,25.087807325639623,5,0.0,0.5,1.050420168067229,1.6067723713643334,1.6067723713643334,070921,S3U3,Ctl
0.30829999999999913,9.73078170613042,9.73078170613042,3,0.0,0.5,1.381406271584479,0.8583589909956465,0.8583589909956465,070921,S3U4,Ctl
0.20339999999999847,29.498525073746535,55.97014925373194,6,0.6082000000000001,0.375,2.0406081012141613,1.0929010204291816,1.1660609116155143,070921,S3U4,Ctl
0.5198999999999963,23.081361800346386,25.97402597402579,12,0.18240000000000478,0.8,3.07125307125308,1.242842671600889,2.242956408997587,070921,S3U4,Ctl
0.15469999999999828,32.320620555915035,32.320620555915035,5,0.0,0.35714285714285715,1.0662117496534742,1.759675444909566,1.759675444909566,070921,S3U4,Ctl
0.12579999999999814,31.79650238473815,31.79650238473815,4,0.0,0.3076923076923077,1.3203063110641597,0.9381970600397322,0.9381970600397322,070921,S3U4,Ctl
