duration,meanSpikingFreq,maxSpikingFreq,withinBurstSpikeNum,interBurst,withinBurstSpikePercentage,meanburstFreq,meanSurprise,maxSurprise,Subject,Neuron,Stimuli
0.17620000000010805,51.07832009077458,56.710775047234996,9,0.28729999999995925,0.8181818181818182,2.0212228398180474,1.903328159088399,2.3264685668520517,070906,S1U1,Bea
0.217899999999986,13.767783386875598,13.767783386875598,3,0.0,0.3333333333333333,1.0843634786380685,1.6701467062761837,1.6701467062761837,070906,S1U1,Bea
0.0498000000002321,60.24096385514092,60.24096385514092,3,0.0,0.6,2.7570995312920785,1.0313844484308061,1.0313844484308061,070906,S1U1,Bol
0.6044999999999163,4.962779156328231,4.962779156328231,3,0.0,0.6,1.0778184953659857,1.0176817209398388,1.0176817209398388,070906,S1U1,Bol
0.296100000000024,10.131712259371012,10.131712259371012,3,0.0,0.75,1.3509862199410467,0.8317029156551592,0.8317029156551592,070906,S1U1,Bol
0.1388000000000602,21.61383285301656,21.61383285301656,3,0.0,1.0,1.3435442697837745,1.3319058855524903,1.3319058855524903,070906,S1U1,Myr
0.5511999999999944,7.256894049346954,7.256894049346954,4,0.0,0.8,1.5330369461904776,2.469897676667148,2.469897676667148,070906,S1U1,Myr
0.18060000000002674,55.370985603535544,55.370985603535544,10,0.0,0.8333333333333334,1.1222085063404135,3.2194227651457576,3.2194227651457576,070906,S1U1,Myr
0.23109999999996944,12.981393336219805,12.981393336219805,3,0.0,0.5,1.0032102728731866,0.8542505859365231,0.8542505859365231,070906,S1U1,Myr
0.31229999999999336,16.01024655779733,16.01024655779733,5,0.0,1.0,1.055854714391293,2.66700841949553,2.66700841949553,070906,S1U1,Lin
0.0817000000000121,85.67931456547079,85.67931456547079,7,0.0,0.6363636363636364,2.89184499710818,1.4371577734209409,1.4371577734209409,070906,S1U1,Lin
0.029599999999959437,101.35135135149024,101.35135135149024,3,0.0,0.5,2.1668472372692342,1.543090679471123,1.543090679471123,070906,S1U1,Ner
0.05700000000001637,105.26315789470661,105.26315789470661,6,0.0,0.8571428571428571,1.6273393002440455,3.6231421197440814,3.6231421197440814,070906,S1U1,Ner
0.22070000000007894,13.593112822831568,13.593112822831568,3,0.0,0.5,1.349892008639451,1.4125146573787033,1.4125146573787033,070906,S1U1,Ner
0.318300000000022,15.708451146715847,15.708451146715847,5,0.0,0.5,1.06315118009779,1.5666334553265144,1.5666334553265144,070906,S1U1,Ner
0.21019999999998618,38.05899143672943,38.05899143672943,8,0.0,0.6666666666666666,1.0322047894302364,2.836242476018044,2.836242476018044,070906,S1U1,Ner
0.21350000000001046,14.051522248242872,14.051522248242872,3,0.0,0.75,1.1055831951353834,1.9028017111529503,1.9028017111529503,070906,S1U1,Ger
0.02960000000001628,101.3513513512956,101.3513513512956,3,0.0,0.42857142857142855,1.0011012113324738,2.1150223499008813,2.1150223499008813,070906,S1U1,Ger
0.21050000000002456,57.00712589072969,57.00712589072969,12,0.0,0.75,1.1572734637194666,3.788732582003808,3.788732582003808,070906,S1U1,Ger
0.14240000000000919,49.157303370783346,49.157303370783346,7,0.0,0.5833333333333334,1.070205479452075,2.84580129757489,2.84580129757489,070906,S1U1,Ger
0.15560000000004948,32.13367609253477,32.13367609253477,5,0.0,0.38461538461538464,1.0255358424775776,0.9621473853983646,0.9621473853983646,070906,S1U1,Iso
0.0568999999998141,105.44815465763801,105.44815465763801,6,0.0,0.6666666666666666,1.1504832029454166,3.947356068290598,3.947356068290598,070906,S1U1,Far
0.08130000000005566,36.90036900366477,36.90036900366477,3,0.0,0.2727272727272727,1.0927767457109248,0.651216313821232,0.651216313821232,070906,S1U1,Far
0.15109999999981483,72.79947054939431,82.15962441315887,11,0.10530000000017026,0.5,2.0032051282052348,1.8982938371955707,2.8502575852865957,070906,S1U1,Far
0.3911000000000513,10.227563283046472,10.227563283046472,4,0.0,0.8,1.0446046171523728,2.7006474449118536,2.7006474449118536,070906,S1U1,DatExt
0.0829999999998563,72.28915662663118,72.28915662663118,6,0.0,0.2857142857142857,1.113709767234738,1.7685457018977733,1.7685457018977733,070906,S1U1,DatExt
0.020400000000108776,147.0588235286276,147.0588235286276,3,0.0,0.75,1.0176045588684004,2.614985699518222,2.614985699518222,070906,S1U1,DatExt
0.04060000000004038,73.89162561569005,73.89162561569005,3,0.0,0.5,3.6778227289434735,1.0182361925663166,1.0182361925663166,070906,S1U1,P9
0.3312999999998283,9.05523694537143,9.05523694537143,3,0.0,1.0,1.7550017550024968,1.628677180076579,1.628677180076579,070906,S1U1,P9_Ten
0.5229000000001633,17.211703958686535,17.211703958686535,9,0.0,1.0,1.0960105217010874,3.0964379743834924,3.0964379743834924,070906,S1U1,P9_Hund
0.17829999999980828,22.434099831768375,22.434099831768375,4,0.0,0.6666666666666666,1.5634771732333366,2.513015847663485,2.513015847663485,070906,S1U1,P9_Hund
0.1091999999998734,45.78754578759887,45.78754578759887,5,0.0,1.0,1.2171372930866757,2.9672241480388695,2.9672241480388695,070906,S1U1,P9_Hund
0.5628000000001521,8.884150675193052,8.884150675193052,5,0.0,0.625,1.0837758751494628,2.246333460421069,2.246333460421069,070906,S1U1,P9_TenThous
0.08710000000007767,57.40528128582711,57.40528128582711,5,0.0,1.0,2.787068004458629,2.02251097707432,2.02251097707432,070906,S1U1,Ctl
0.06689999999991869,59.790732436545014,59.790732436545014,4,0.0,0.6666666666666666,1.0437323870159052,2.7167417504811646,2.7167417504811646,070906,S1U1,Ctl
