burst duration,within-burst spiking freq,within-burst max spiking freq,within-burst number of spikes,inter-burst interval,percentage of burst spikes,burst frequency,mean surprise,max surprise,Subject,Neuron,Stimuli
2.53540000000001,8.677131813520516,21.568325373594067,22,0.024599999999992406,1.0,0.10098459984852307,8.509999725823036,13.00566568709716,070906,S1U1,Lin
2.7639000000000067,14.834111219653353,20.5566975943107,41,0.09279999999998267,0.9534883720930233,0.10166579403526783,11.922123449384468,22.067838877502982,070906,S2U1,Lin
3.7055000000000007,10.524895425718524,10.524895425718524,39,0.0,1.0,0.050041033647591035,15.146894024525418,15.146894024525418,070906,S2U4,Lin
3.0363000000000113,4.2815268583473145,93.7499999999687,13,0.04279999999999973,1.0,0.1542924149848793,6.023301758570689,7.575765388773724,070906,S2U5,Lin
2.2577,2.2146432209771008,2.2146432209771008,5,0.0,1.0,0.05092090455894862,2.9973718010334642,2.9973718010334642,070906,S3U1,Lin
2.543200000000013,1.9660270525322328,1.9660270525322328,5,0.0,1.0,0.05087375677256888,3.2203616684322074,3.2203616684322074,070906,S3U2,Lin
0.7282000000000153,9.61274375171636,9.61274375171636,7,0.0,0.6363636363636364,0.050106476262056915,5.9883619013834,5.9883619013834,070906,S4U1,Lin
2.3680999999999983,16.46889911743593,18.81383264647926,39,1.1588000000000136,0.9285714285714286,0.10003551260697552,11.90696222202303,12.783900104930778,070906,S1U3,Lin
0.7079999999999984,15.536723163841843,24.929884699283683,11,2.7084999999999866,0.6470588235294118,0.10029084344599334,5.6162666450734235,9.146658981096873,070906,S3U3,Lin
0.4039999999998827,24.75247524753194,32.59983700084283,10,14.660900000000083,0.05952380952380952,0.15078862450616728,1.0571610001750724,1.4485707413037474,070913,S1U1,Ctl
4.103199999999333,32.1700136478898,67.11409395967992,132,15.377300000000673,0.40615384615384614,1.652876004247392,1.4284958034079966,3.14612786196048,070913,S2U1,Ctl
3.611499999999751,24.643499930778386,101.26582278487308,89,15.997100000000273,0.30272108843537415,1.1550533584431877,1.3601819119997678,2.9532941778510815,070913,S3U1,Ctl
1.9422000000000708,6.17856039542764,9.904258831296726,12,6.390199999999936,0.2857142857142857,0.15201726916177677,1.2791126167871874,2.1138156450781365,070913,S3U2,Ctl
4.577000000000112,5.899060519991116,16.483516483515,27,14.636499999999842,0.4576271186440678,0.35537685176723804,1.4613818875745532,2.3840930644638245,070913,S4U1,Ctl
3.5575000000000045,3.3731553056921952,4.825866645218461,12,5.021399999999971,0.3157894736842105,0.15656312625250485,1.0376094360012909,1.1191801219235125,070913,S4U2,Ctl
2.3907999999998992,20.49523172160033,49.56629491946773,49,16.060500000000047,0.22790697674418606,0.7038111373085252,1.1221786753147889,1.6975024000360757,070913,S4U3,Ctl
5.972900000000001,27.457349026436066,56.497175141242955,164,13.8882,0.8367346938775511,0.8504337211978109,2.7302939796575596,7.310430109772185,070921,S1U1,Ctl
15.656299999999996,6.387205150642235,78.43137254901954,100,3.445000000000002,0.7751937984496124,0.45009451984916843,3.252264080403529,9.070393091011692,070921,S2U1,Ctl
5.152899999999998,5.239767897688682,7.127583749109059,27,14.314800000000002,0.7297297297297297,0.2501275650581797,2.1713009224275592,3.1040776951709717,070921,S2U2,Ctl
5.526899999999998,33.11078543125442,77.72020725388653,183,13.996100000000004,0.7854077253218884,0.9507320636890407,2.910168672084395,7.145959475275821,070921,S3U1,Ctl
16.776600000000002,9.23905916574276,37.38317757009339,155,3.021899999999998,0.824468085106383,0.6511036206369798,3.121517959462196,14.172112080705178,070921,S3U2,Ctl
5.503100000000003,14.355545056422734,20.583190394511142,79,14.142299999999999,0.7669902912621359,0.5000975190162082,2.1581362090516554,5.991523321676464,070921,S4U1,Ctl
5.886400000000001,6.625441696113073,12.899064817800712,39,13.611900000000002,0.8297872340425532,0.2511729778063557,2.4813452142825394,4.629697909970586,070921,S4U2,Ctl
3.1426,0.9546235601094636,0.9546235601094636,3,0.0,0.5,0.05025959078641183,1.5075357583215552,1.5075357583215552,070921,S1U2,Ctl
5.920199999999998,60.47093003614745,78.77664504170532,358,13.7462,0.8081264108352144,1.2515456588887277,3.3254767969047703,16.518096089088942,070921,S1U3,Ctl
3.1343000000000005,7.657212136681236,25.454545454545585,24,13.157899999999998,0.5217391304347826,0.2502677865315888,2.9518550495268494,5.5624190670531615,070921,S1U4,Ctl
5.7420999999999935,11.145748071263139,15.475883415011609,64,13.463800000000004,0.9014084507042254,0.35185604061424014,3.354402021739151,6.054729896357152,070921,S3U3,Ctl
16.0856,4.476053115830308,20.114497911186753,72,2.785899999999999,0.8,0.405599298313214,2.9249601660079496,6.308233552941784,070921,S3U4,Ctl
5.487700000000001,4.373416914189915,4.7109495928393565,24,13.8998,0.8,0.15272927209228923,2.009765863902957,2.7197039672765078,070921,S4U4,Ctl
4.4007000000000005,31.813120639898194,31.813120639898194,140,0.0,1.0,0.05003427347733197,45.76849218110383,45.76849218110383,070922,S1U1,Ner
3.6410000000000053,3.021148036253772,3.021148036253772,11,0.0,0.9166666666666666,0.0500533067717119,5.911052804413523,5.911052804413523,070922,S2U1,Ner
3.9288000000000096,40.97943392384433,47.64425622022137,161,0.3412999999999897,0.9526627218934911,0.15002625459455407,19.92875538921834,32.27475910300073,070922,S2U2,Ner
4.41749999999999,31.46576117713646,31.46576117713646,139,0.0,1.0,0.050039781626392985,45.38063219014604,45.38063219014604,070922,S2U3,Ner
4.218699999999998,25.837343257401578,26.316983529198186,109,0.01290000000000191,0.990909090909091,0.10019487903973234,19.518494435024508,20.534096901826697,070922,S2U4,Ner
