Bea,Bol,Mal,Myr,Lin,Ner,Ger,Iso,Far,DatExt,P9,P9_Ten,P9_Hund,P9_TenThous,Ctl,P5,P4,P3,M6,M5,M4,M3,M2
568.58,1772.772,2555.866,2687.2545,708.6342,204.9528,366.2422,826.5298,1911.8827,2828.2292,1157.4127,1467.6541,1649.1697,1300.0226,20.4673,3080.5757,2027.8396,1002.1146,2413.2803,2954.2383,2166.017,3250.6984,2286.8485
573.579,1777.7723,2560.8656,2692.2628,713.6335,209.9527,371.2513,831.5297,1916.8892,2833.2284,1162.4218,1472.6556,1654.1691,1305.0221,25.4668,3085.5756,2032.8392,1007.1145,2418.3066,2959.2606,2171.0166,3255.6974,2291.8486
578.58,1782.7722,2565.8666,2697.255,718.6344,214.955,376.2425,836.5307,1921.8833,2838.2294,1167.4129,1477.6546,1659.1711,1310.023,30.4678,3090.5766,2037.8402,1012.1153,2423.2809,2964.2389,2176.0176,3260.6985,2296.8485
583.5809,1787.7722,2570.8666,2702.255,723.6344,219.9527,381.2424,841.5307,1926.8833,2843.2294,1172.4129,1482.6546,1664.1699,1315.0295,35.4678,3095.5766,2042.8401,1017.1153,2428.2809,2969.2389,2181.0176,3265.6984,2301.8494
588.5809,1792.7725,2575.8665,2707.255,728.6344,224.9537,386.2424,846.5297,1931.8833,2848.2293,1177.4129,1487.6547,1669.1699,1320.022,40.4677,3100.5766,2047.8401,1022.1153,2433.2809,2974.2389,2186.0176,3270.6993,2306.8494
