Bea,Bol,Mal,Myr,Lin,Ner,Ger,Iso,Far,DatExt,P9,P9_Ten,P9_Hund,P9_TenThous,Ctl,P5,P4,P3,M6,M5,M4,M3,M2
939.9398,2378.2416,2155.3764,621.9994,178.0283,830.6786,355.977,2260.0311,1057.3508,1485.4108,504.5351,2787.4606,1664.9697,3400.2048,724.6975,1265.4096,1898.5233,3194.9341,1166.5376,2483.1949,3071.8365,2006.8879,2600.6905
944.9392,2383.241,2160.3762,626.9985,183.0277,835.6778,360.9766,2265.0303,1062.3501,1490.4098,509.5349,2792.4599,1669.969,3405.2048,729.6975,1270.4093,1903.5232,3199.9337,1171.5374,2488.1939,3076.8363,2011.8873,2605.7132
949.9402,2388.242,2165.3772,631.9995,188.0287,840.6787,365.9775,2270.0313,1067.3511,1495.4108,514.5358,2797.4609,1674.97,3410.2047,734.6975,1275.4103,1908.5243,3204.9347,1176.5384,2493.197,3081.8372,2016.9019,2610.6908
954.9402,2393.242,2170.384,636.9994,193.0287,845.7012,370.9775,2275.0554,1072.3511,1500.4108,519.5358,2802.4628,1679.97,3415.2057,739.6985,1280.4102,1913.5232,3209.962,1181.5384,2498.1949,3086.8372,2021.8882,2615.6907
959.9402,2398.242,2175.3762,641.9994,198.0287,850.6787,375.9775,2280.0313,1077.3511,1505.4108,524.5358,2807.4608,1684.97,3420.2057,744.6984,1285.4102,1918.5242,3214.9346,1186.5384,2503.1949,3091.8372,2026.8882,2620.6907
