Bea,Bol,Mal,Myr,Lin,Ner,Ger,Iso,Far,DatExt,P9,P9_Ten,P9_Hund,P9_TenThous,Ctl,P5,P4,P3,M6,M5,M4,M3,M2
1700.026,301.8412,443.0671,1845.914,16.5419,150.5291,1553.0703,2146.0383,1434.0176,2008.7109,796.0842,948.2524,1139.9951,1288.8372,603.5241,2553.9214,3217.1023,2951.0516,3076.6483,2401.4376,2692.9068,2263.8019,2809.6768
1705.026,306.8405,448.0669,1850.9135,21.5415,155.5284,1558.0702,2151.0378,1439.0168,2013.7109,801.0836,953.2523,1144.9949,1293.8364,608.5235,2558.9209,3222.1021,2956.0509,3081.6484,2406.4367,2697.907,2268.8013,2814.6762
1710.0272,311.8416,453.0678,1855.9312,26.5424,160.5591,1563.0715,2156.0388,1444.0177,2018.7127,806.0845,958.2704,1149.996,1298.8374,613.5244,2563.9218,3227.103,2961.0518,3086.6629,2411.4378,2702.9068,2273.8023,2819.6948
1715.0279,316.8493,458.0677,1860.9143,31.5424,165.5294,1568.0702,2161.0554,1449.0177,2023.7109,811.0845,963.2521,1155.0211,1303.8383,618.5244,2568.9217,3232.103,2966.0518,3091.6492,2416.4378,2707.9078,2278.8023,2824.6771
1720.0259,321.8405,463.0677,1865.9144,36.5425,170.5294,1573.0712,2166.0388,1454.0177,2028.7119,816.0846,968.2532,1159.9949,1308.8373,623.5245,2573.9217,3237.103,2971.0519,3096.6492,2421.4376,2712.9078,2283.8022,2829.6771
