Bea,Bol,Mal,Myr,Lin,Ner,Ger,Iso,Far,DatExt,P9,P9_Ten,P9_Hund,P9_TenThous,Ctl,P5,P4,P3,M6,M5,M4,M3,M2
1956.6874,404.5193,253.523,692.0446,1680.5835,95.7124,1546.6123,2350.6557,1845.0247,3225.0909,985.9448,1123.1315,1411.2665,1273.9089,556.8403,2729.255,2467.3507,3095.426,851.5145,2231.5504,2855.2862,2084.6649,2600.8844
1961.6867,409.5189,258.523,697.044,1685.5834,100.712,1551.6119,2355.655,1850.0246,3230.0902,990.9447,1128.1313,1416.2664,1278.9084,561.8399,2734.2551,2472.35,3100.4252,856.5146,2236.5497,2860.2859,2089.665,2605.8841
1966.7371,414.5198,263.524,702.0634,1690.5847,105.7342,1556.6129,2360.6557,1855.0256,3235.1439,995.9457,1133.132,1421.2675,1283.9308,566.8412,2739.2548,2477.3509,3105.4265,861.5142,2241.5504,2865.2869,2094.6649,2610.8849
1971.6875,419.5198,268.5464,707.0447,1695.5835,110.7127,1561.6129,2365.6557,1860.0256,3240.0911,1000.9457,1138.132,1426.2676,1288.9092,571.841,2744.2558,2482.3509,3110.4262,866.5152,2246.5504,2870.2869,2099.6658,2615.8849
1976.6875,424.5199,273.5239,712.0447,1700.5834,115.7159,1566.6129,2370.6557,1865.0257,3245.091,1005.9457,1143.1321,1431.2664,1293.9092,576.8408,2749.2558,2487.3509,3115.4262,871.5152,2251.5504,2875.2869,2104.6658,2620.8849
