Bea,Bol,Mal,Myr,Lin,Ner,Ger,Iso,Far,DatExt,P9,P9_Ten,P9_Hund,P9_TenThous,Ctl,P5,P4,P3,M6,M5,M4,M3,M2
1274.8263,1972.653,1604.6563,942.2051,1489.5462,1378.0977,2369.4436,2835.3774,2231.5917,2484.9443,1878.2241,1758.4856,2105.4998,2955.8045,833.8798,2607.4557,3328.2834,3571.7018,3697.3423,2724.9273,3183.5634,3437.4951,3076.7257
1279.8255,1977.6526,1609.6561,947.205,1494.5459,1383.0969,2374.443,2840.3768,2236.5916,2489.9437,1883.224,1763.485,2110.499,2960.8043,838.879,2612.4553,3333.291,3576.7017,3702.3421,2729.9267,3188.5627,3442.4949,3081.725
1284.8524,1982.6535,1614.6572,952.206,1499.5469,1388.1223,2379.4439,2845.3778,2241.6053,2494.9447,1888.225,1768.4859,2115.5,2965.8073,843.8888,2617.4563,3338.2842,3581.7027,3707.3431,2734.9277,3193.5637,3447.4959,3086.7291
1289.8265,1987.6682,1619.657,957.206,1504.5469,1393.0978,2384.4439,2850.3777,2246.5926,2499.9447,1893.2311,1773.4859,2120.5,2970.8053,848.88,2622.4562,3343.2842,3586.7027,3712.3529,2739.9277,3198.5637,3452.4959,3091.726
1294.8265,1992.6535,1624.657,962.2059,1509.5469,1398.0978,2389.4439,2855.3777,2251.5926,2504.9447,1898.224,1778.4859,2125.5,2975.8053,853.88,2627.4562,3348.2841,3591.7027,3717.3431,2744.9277,3203.5637,3457.4961,3096.726
