,label,stimuli,S1U1,S2U1,S2U2,S2U3,S2U4,S2U5,S3U1,S3U2,S4U1,S1U2,S1U3,S3U3
11,0,Mal,"[0.29859999999962383, 0.7184999999994943, 0.8875999999995656]","[0.6397999999994681, 0.6646999999998116, 0.709599999999682]",[],[],"[0.12859999999955107, 0.3993999999997868, 0.49409999999943466, 0.5627999999996973, 0.7372999999997774]",[],[],"[0.00889999999981228, 0.034399999999550346, 0.6781999999998334, 0.6874999999995453, 0.7227999999995518, 0.7336999999997715]",[0.8489999999997053],[],"[0.33999999999969077, 0.40779999999949723, 0.4169999999994616, 0.4345999999995911, 0.43929999999954816, 0.5322999999998501, 0.5380999999997584, 0.5519999999996799, 0.6252999999996973, 0.6377999999995154, 0.6629999999995562, 0.7377999999994245, 0.7409999999995307, 0.7441999999996369, 0.7959999999998217, 0.8795999999997548, 0.8947999999995773, 0.9088999999994485]",[]
12,0,Mal,[0.08339999999998327],"[0.05499999999983629, 0.05999999999994543, 0.07139999999981228, 0.10300000000006548, 0.11310000000003129, 0.12120000000004438, 0.12429999999994834, 0.12709999999970023, 0.1497999999996864, 0.1637999999998101, 0.1677999999997155, 0.2199000000000524, 0.23869999999988067, 0.26330000000007203, 0.2899999999999636, 0.4863999999997759, 0.7889000000000124]",[],"[0.030099999999947613, 0.0385999999998603, 0.7210000000000036, 0.7780999999999949]","[0.04970000000002983, 0.09159999999974389, 0.19049999999970169, 0.36089999999967404]",[],[0.01890000000003056],[],[0.4908999999997832],[0.10399999999981446],"[0.021899999999732245, 0.025799999999890133, 0.03789999999980864, 0.046899999999823194, 0.05209999999988213, 0.06539999999995416, 0.07159999999976208, 0.08999999999969077, 0.09329999999999927, 0.09760000000005675, 0.10709999999971842, 0.11609999999973297, 0.12879999999995562, 0.1509000000000924, 0.16570000000001528, 0.18890000000010332, 0.26159999999981665, 0.279700000000048, 0.28729999999995925, 0.3152999999997519, 0.33599999999978536, 0.39669999999978245, 0.4052999999998974, 0.4699999999997999, 0.5002999999996973, 0.5749000000000706, 0.5835999999999331, 0.5898999999999432]","[0.5806999999999789, 0.9171000000001186, 0.9506999999998698, 0.9870999999998276]"
13,0,Mal,"[0.18209999999999127, 0.22199999999975262, 0.7955999999999221, 0.9775999999997111]",[],[],"[0.2974999999996726, 0.7377999999998792]","[0.3146999999999025, 0.5033999999996013, 0.5177999999996246]",[0.3613999999997759],[0.984599999999773],"[0.34999999999990905, 0.3880999999996675, 0.399199999999837, 0.4829999999997199, 0.5161999999995714, 0.6702999999997701]",[0.03519999999980428],[0.5969000000000051],"[0.7520999999997002, 0.7697999999995773, 0.773899999999685, 0.7770999999997912, 0.8190999999997075, 0.8469999999997526, 0.8592999999996209, 0.8655999999996311, 0.9156999999995605, 0.9214999999999236]","[0.10489999999981592, 0.7848999999996522, 0.8757999999997992, 0.9323999999996886]"
14,0,Mal,"[0.012999999999465217, 0.6096999999995205]","[0.2087999999994281, 0.21949999999969805, 0.6094999999995707]","[0.18849999999974898, 0.2229999999995016, 0.4139999999997599, 0.46499999999969077, 0.6746999999995751, 0.7625999999995656]",[],"[0.19369999999980791, 0.6357999999995627, 0.9468999999994594]",[],[],[],[0.31009999999969295],"[0.1885999999994965, 0.22309999999970387, 0.4140999999995074, 0.4650999999994383, 0.6748999999995249, 0.7626999999997679]","[0.21939999999949578, 0.833299999999781, 0.8920999999995729, 0.8995999999997366, 0.9292999999997846, 0.9473999999995613, 0.9521999999997206, 0.9638999999997395]","[0.21939999999949578, 0.5602999999996428]"
15,0,Myr,"[0.5472999999999502, 0.602800000000002, 0.6861000000000104, 0.7442999999999529]","[0.3887999999999465, 0.6391999999999598, 0.9044999999999845, 0.9189000000000078, 0.9362999999999602, 0.9452999999999747, 0.9791999999999916]",[],[],"[0.2624999999999318, 0.4370000000000118, 0.466199999999958, 0.8211000000000013, 0.9602999999999611]",[],"[0.10040000000003602, 0.13800000000003365]","[0.31579999999996744, 0.514699999999948]","[0.36760000000003856, 0.4234000000000151]",[],"[0.4410000000000309, 0.6639999999999873, 0.9838999999999487]","[0.05079999999998108, 0.06460000000004129, 0.10630000000003292, 0.6263999999999896]"
16,0,Myr,"[0.05560000000002674, 0.5729000000000042, 0.592899999999986, 0.6068000000000211, 0.6111999999999398, 0.6522999999999683]","[0.3955999999999449, 0.5964999999999918, 0.6023000000000138, 0.6245000000000118, 0.6354000000000042, 0.6391999999999598, 0.6736999999999398, 0.6784999999999854, 0.699100000000044, 0.7707000000000335, 0.8873999999999569]",[],[0.55499999999995],"[0.28350000000000364, 0.4216000000000122, 0.5919999999999845, 0.6199000000000296, 0.7565999999999349]","[0.03390000000001692, 0.052099999999995816, 0.05999999999994543, 0.12429999999994834, 0.25509999999997035]",[],[0.03599999999994452],[0.394800000000032],"[0.5891000000000304, 0.6668999999999414]","[0.03890000000001237, 0.06309999999996307, 0.4290999999999485, 0.6009999999999991, 0.712099999999964]","[0.14789999999993597, 0.21669999999994616, 0.2624999999999318, 0.27949999999998454]"
17,0,Myr,"[0.3324000000000069, 0.633199999999988, 0.6838999999999942, 0.7218000000000302, 0.7346999999999753, 0.7559999999999718, 0.7785000000000082, 0.7875999999999976, 0.8074000000000296, 0.8182000000000471, 0.8420999999999594, 0.8645000000000209, 0.8911000000000513]",[0.6818000000000666],[],[],"[0.04319999999995616, 0.10030000000006112, 0.11599999999998545, 0.463100000000054, 0.6775000000000091, 0.806699999999978, 0.9710000000000036, 0.9841999999999871]",[],[0.8068000000000666],"[0.32380000000000564, 0.3794000000000324, 0.4193000000000211, 0.49879999999996016, 0.5249999999999773, 0.6100000000000136, 0.9551999999999907]",[0.3424999999999727],[0.6367999999999938],"[0.23080000000004475, 0.2378999999999678, 0.241800000000012, 0.27150000000006, 0.3025000000000091, 0.3061000000000149, 0.3141000000000531, 0.7119000000000142, 0.7484000000000606]","[0.8396999999999935, 0.8741999999999734, 0.8897000000000617, 0.9225000000000136, 0.9288000000000238]"
18,0,Myr,"[0.4843999999999369, 0.5554999999999382]","[0.0008000000000265572, 0.39990000000000236, 0.5534999999999854, 0.5565000000000282, 0.6828000000000429, 0.7002999999999702, 0.7156999999999698]",[],"[0.42029999999999745, 0.42639999999994416]","[0.22090000000002874, 0.4597999999999729, 0.49860000000001037, 0.7075999999999567, 0.8111999999999853]",[],[0.0181999999999789],[],[],[],"[0.22249999999996817, 0.2741999999999507, 0.29349999999999454, 0.6576999999999771, 0.6671999999999798, 0.7065999999999804, 0.717899999999986, 0.7355000000000018, 0.8359000000000378]","[0.0015999999999394277, 0.21829999999999927, 0.5019999999999527, 0.6145999999999958, 0.6604999999999563, 0.7522999999999911, 0.8025000000000091]"
19,0,Myr,"[0.06399999999996453, 0.23439999999993688, 0.29509999999993397, 0.3429999999999609, 0.842899999999986, 0.9541000000000395, 0.9968000000000075]","[0.004000000000019099, 0.02039999999999509, 0.024900000000002365, 0.03779999999994743, 0.06380000000001473, 0.10130000000003747, 0.15800000000001546]",[],"[0.11260000000004311, 0.43039999999996326, 0.5406000000000404]","[0.010800000000017462, 0.17089999999996053, 0.1856000000000222, 0.2519999999999527, 0.31719999999995707, 0.3368000000000393, 0.48689999999999145, 0.5652999999999793, 0.5685999999999467, 0.6019000000000005, 0.8660999999999603, 0.9904999999999973]","[0.3926999999999907, 0.4107999999999947, 0.41809999999998126, 0.4412999999999556, 0.5005999999999631, 0.5155999999999494]",[],[0.9239999999999782],[0.06370000000003984],[],"[0.0009999999999763531, 0.0483000000000402, 0.890700000000038, 0.901299999999992, 0.9052000000000362, 0.9747999999999593, 0.97950000000003, 0.9909999999999854]","[0.06380000000001473, 0.32380000000000564, 0.48889999999994416]"
20,0,Lin,"[0.22149999999999181, 0.2442999999999813, 0.29229999999998313, 0.695999999999998, 0.7036999999999978, 0.8050000000000068]","[0.36990000000000123, 0.672300000000007]","[0.415300000000002, 0.6342999999999961]",[0.4292999999999836],"[0.08519999999998618, 0.23789999999999623, 0.49029999999999063, 0.6408999999999878, 0.7488999999999919, 0.7889999999999873, 0.9835999999999956]","[0.3230000000000075, 0.33979999999999677, 0.34799999999998477, 0.35559999999998126, 0.43670000000000186, 0.44360000000000355]",[0.6382999999999868],"[0.6076999999999941, 0.6564999999999941]","[0.03139999999999077, 0.38689999999999714, 0.4294999999999902, 0.4759999999999991, 0.6957999999999913, 0.7255999999999858, 0.759600000000006, 0.9574999999999818]","[0.4154000000000053, 0.6343999999999994]","[0.1466000000000065, 0.15559999999999263, 0.18799999999998818, 0.19110000000000582, 0.198599999999999, 0.25090000000000146, 0.28249999999999886, 0.3709999999999809, 0.5658999999999992, 0.598399999999998, 0.6036000000000001, 0.6193999999999846, 0.643100000000004, 0.6519999999999868, 0.775999999999982, 0.7881999999999891, 0.9829000000000008, 0.9928999999999917]","[0.4522999999999797, 0.7848999999999933, 0.8393999999999835, 0.9420000000000073]"
